countries, product, quantity, price
NG,Product-1970,790,91.25
GH,Product-1971,775,50.65
KE,Product-1972,380,92.66
ZA,Product-1973,321,52.93
MA,Product-1974,469,42.11
NG,Product-1975,67,64.87
GH,Product-1976,877,51.78
KE,Product-1977,495,86.03
ZA,Product-1978,279,37.22
MA,Product-1979,331,36.61
NG,Product-1980,144,23.96
GH,Product-1981,922,1.27
KE,Product-1982,252,66.96
ZA,Product-1983,904,72.65
MA,Product-1984,447,84.68
NG,Product-1985,888,76.61
GH,Product-1986,956,77.55
KE,Product-1987,10,2.38
ZA,Product-1988,861,74.68
MA,Product-1989,258,88.01
NG,Product-1990,659,84.25
GH,Product-1991,453,31.39
KE,Product-1992,914,40.16
ZA,Product-1993,457,37.87
MA,Product-1994,351,47.89
NG,Product-1995,997,17.74
GH,Product-1996,571,96.63
KE,Product-1997,419,45.43
ZA,Product-1998,201,87.41
MA,Product-1999,590,33.56
NG,Product-2000,934,14.83
GH,Product-2001,102,46.17
KE,Product-2002,386,75.31
ZA,Product-2003,696,34.25
MA,Product-2004,489,49.03
NG,Product-2005,323,92.09
GH,Product-2006,792,71.39
KE,Product-2007,489,41.27
ZA,Product-2008,154,86.62
MA,Product-2009,9,91.92
NG,Product-2010,568,79.95
GH,Product-2011,603,34.10
KE,Product-2012,111,73.43
ZA,Product-2013,538,48.69
MA,Product-2014,332,16.25
NG,Product-2015,599,61.08
GH,Product-2016,160,27.61
KE,Product-2017,61,94.29
ZA,Product-2018,291,4.66
MA,Product-2019,841,11.02
NG,Product-2020,653,49.29
GH,Product-2021,696,60.33
KE,Product-2022,580,17.72
ZA,Product-2023,69,41.68
MA,Product-2024,29,22.39
NG,Product-2025,141,31.98
GH,Product-2026,260,24.12
KE,Product-2027,308,5.85
ZA,Product-2028,494,60.38
MA,Product-2029,537,89.00
NG,Product-2030,935,33.93
GH,Product-2031,242,67.84
KE,Product-2032,727,52.54
ZA,Product-2033,42,78.13
MA,Product-2034,444,54.57
NG,Product-2035,695,65.34
GH,Product-2036,886,74.50
KE,Product-2037,93,9.18
ZA,Product-2038,118,38.81
MA,Product-2039,570,84.89
NG,Product-2040,327,62.68
GH,Product-2041,563,37.98
KE,Product-2042,732,80.08
ZA,Product-2043,692,46.12
MA,Product-2044,770,10.33
NG,Product-2045,932,19.34
GH,Product-2046,577,45.72
KE,Product-2047,904,5.41
ZA,Product-2048,237,54.24
MA,Product-2049,512,38.25
NG,Product-2050,770,27.28
GH,Product-2051,166,25.96
KE,Product-2052,194,9.00
ZA,Product-2053,830,82.19
MA,Product-2054,874,59.08
NG,Product-2055,37,24.38
GH,Product-2056,600,49.89
KE,Product-2057,14,18.53
ZA,Product-2058,997,71.05
MA,Product-2059,750,30.98
NG,Product-2060,187,90.68
GH,Product-2061,962,84.62
KE,Product-2062,814,31.22
ZA,Product-2063,688,29.10
MA,Product-2064,420,33.29
NG,Product-2065,564,53.33
GH,Product-2066,860,62.92
KE,Product-2067,310,78.92
ZA,Product-2068,578,74.89
MA,Product-2069,210,20.27
NG,Product-2070,896,72.88
GH,Product-2071,209,5.27
KE,Product-2072,902,28.17
ZA,Product-2073,727,36.74
MA,Product-2074,686,26.50
NG,Product-2075,464,97.69
GH,Product-2076,98,35.44
KE,Product-2077,303,3.56
ZA,Product-2078,789,87.23
MA,Product-2079,127,63.47
NG,Product-2080,320,53.78
GH,Product-2081,591,60.60
KE,Product-2082,328,17.37
ZA,Product-2083,254,24.81
MA,Product-2084,926,81.72
NG,Product-2085,443,11.40
GH,Product-2086,415,18.82
KE,Product-2087,472,71.25
ZA,Product-2088,573,10.30
MA,Product-2089,254,20.57
NG,Product-2090,866,64.89
GH,Product-2091,719,43.14
KE,Product-2092,450,24.82
ZA,Product-2093,563,16.16
MA,Product-2094,615,62.57
NG,Product-2095,651,58.16
GH,Product-2096,61,5.08
KE,Product-2097,19,18.86
ZA,Product-2098,472,89.06
MA,Product-2099,755,26.95
NG,Product-2100,521,93.49
GH,Product-2101,726,83.47
KE,Product-2102,152,34.53
ZA,Product-2103,84,74.92
MA,Product-2104,586,6.84
NG,Product-2105,538,66.35
GH,Product-2106,636,17.54
KE,Product-2107,774,43.95
ZA,Product-2108,476,16.29
MA,Product-2109,920,47.33
NG,Product-2110,885,25.01
GH,Product-2111,217,41.74
KE,Product-2112,256,78.16
ZA,Product-2113,772,74.19
MA,Product-2114,122,23.98
NG,Product-2115,863,68.59
GH,Product-2116,275,81.94
KE,Product-2117,675,72.22
ZA,Product-2118,312,12.79
MA,Product-2119,257,75.94
NG,Product-2120,971,8.51
GH,Product-2121,382,47.33
KE,Product-2122,454,46.69
ZA,Product-2123,380,60.60
MA,Product-2124,214,67.96
NG,Product-2125,202,53.32
GH,Product-2126,589,39.31
KE,Product-2127,886,0.08
ZA,Product-2128,323,45.92
MA,Product-2129,640,95.25
NG,Product-2130,513,87.54
GH,Product-2131,140,58.82
KE,Product-2132,328,16.98
ZA,Product-2133,46,85.60
MA,Product-2134,278,78.79
NG,Product-2135,441,55.67
GH,Product-2136,445,83.39
KE,Product-2137,883,68.71
ZA,Product-2138,473,69.95
MA,Product-2139,623,29.24
NG,Product-2140,976,39.12
GH,Product-2141,321,12.69
KE,Product-2142,650,28.15
ZA,Product-2143,893,63.43
MA,Product-2144,23,71.33
NG,Product-2145,382,49.13
GH,Product-2146,537,47.26
KE,Product-2147,855,94.29
ZA,Product-2148,154,82.11
MA,Product-2149,885,42.50
NG,Product-2150,501,8.40
GH,Product-2151,554,61.77
KE,Product-2152,522,42.02
ZA,Product-2153,968,2.62
MA,Product-2154,637,34.36
NG,Product-2155,146,3.96
GH,Product-2156,730,53.92
KE,Product-2157,119,35.70
ZA,Product-2158,677,37.46
MA,Product-2159,281,9.75
NG,Product-2160,228,28.21
GH,Product-2161,733,56.93
KE,Product-2162,354,82.32
ZA,Product-2163,933,76.21
MA,Product-2164,801,41.85
NG,Product-2165,44,10.12
GH,Product-2166,966,1.18
KE,Product-2167,73,63.63
ZA,Product-2168,213,61.91
MA,Product-2169,111,55.22
NG,Product-2170,747,58.53
GH,Product-2171,902,14.72
KE,Product-2172,434,50.00
ZA,Product-2173,312,18.77
MA,Product-2174,329,54.19
NG,Product-2175,555,32.64
GH,Product-2176,339,8.10
KE,Product-2177,220,92.07
ZA,Product-2178,114,91.66
MA,Product-2179,686,87.67
NG,Product-2180,699,34.85
GH,Product-2181,252,25.73
KE,Product-2182,697,97.39
ZA,Product-2183,67,18.92
MA,Product-2184,250,14.69
NG,Product-2185,807,29.66
GH,Product-2186,842,70.44
KE,Product-2187,818,55.02
ZA,Product-2188,755,66.53
MA,Product-2189,702,79.12
NG,Product-2190,69,78.72
GH,Product-2191,840,98.54
KE,Product-2192,169,95.02
ZA,Product-2193,783,9.56
MA,Product-2194,25,15.36
NG,Product-2195,198,24.84
GH,Product-2196,553,64.31
KE,Product-2197,525,83.80
ZA,Product-2198,130,21.02
MA,Product-2199,539,99.55
NG,Product-2200,25,20.83
GH,Product-2201,393,14.66
KE,Product-2202,68,95.68
ZA,Product-2203,148,41.39
MA,Product-2204,285,8.27
NG,Product-2205,720,30.82
GH,Product-2206,25,82.65
KE,Product-2207,603,0.75
ZA,Product-2208,588,26.52
MA,Product-2209,419,8.57
NG,Product-2210,277,11.73
GH,Product-2211,585,13.60
KE,Product-2212,907,77.58
ZA,Product-2213,155,88.37
MA,Product-2214,339,98.24
NG,Product-2215,980,13.89
GH,Product-2216,593,67.69
KE,Product-2217,163,17.17
ZA,Product-2218,607,40.89
MA,Product-2219,635,83.26
NG,Product-2220,853,86.93
GH,Product-2221,264,51.97
KE,Product-2222,440,45.11
ZA,Product-2223,794,61.38
MA,Product-2224,206,74.00
NG,Product-2225,703,23.39
GH,Product-2226,113,96.66
KE,Product-2227,781,90.87
ZA,Product-2228,907,92.73
MA,Product-2229,20,46.99
NG,Product-2230,148,2.77
GH,Product-2231,835,38.81
KE,Product-2232,74,16.97
ZA,Product-2233,112,75.29
MA,Product-2234,987,95.27
NG,Product-2235,381,25.35
GH,Product-2236,189,27.36
KE,Product-2237,866,43.45
ZA,Product-2238,996,52.82
MA,Product-2239,422,54.73
NG,Product-2240,889,4.22
GH,Product-2241,951,71.14
KE,Product-2242,198,13.47
ZA,Product-2243,244,26.94
MA,Product-2244,729,22.12
NG,Product-2245,317,66.39
GH,Product-2246,795,30.83
KE,Product-2247,225,63.56
ZA,Product-2248,844,52.45
MA,Product-2249,439,12.53
NG,Product-2250,266,50.34
GH,Product-2251,692,31.32
KE,Product-2252,733,25.80
ZA,Product-2253,738,63.93
MA,Product-2254,974,27.99
NG,Product-2255,790,25.24
GH,Product-2256,622,2.25
KE,Product-2257,193,41.61
ZA,Product-2258,845,97.97
MA,Product-2259,601,37.60
NG,Product-2260,702,97.16
GH,Product-2261,676,57.56
KE,Product-2262,668,44.50
ZA,Product-2263,194,12.65
MA,Product-2264,291,15.41
NG,Product-2265,602,28.33
GH,Product-2266,148,94.04
KE,Product-2267,603,63.55
ZA,Product-2268,895,21.35
MA,Product-2269,976,96.03
NG,Product-2270,637,38.72
GH,Product-2271,437,87.30
KE,Product-2272,633,70.57
ZA,Product-2273,283,35.23
MA,Product-2274,150,50.82
NG,Product-2275,56,60.42
GH,Product-2276,894,13.67
KE,Product-2277,860,69.26
ZA,Product-2278,616,0.60
MA,Product-2279,677,46.31
NG,Product-2280,404,61.80
GH,Product-2281,525,4.25
KE,Product-2282,24,98.94
ZA,Product-2283,168,75.62
MA,Product-2284,843,39.29
NG,Product-2285,217,8.07
GH,Product-2286,319,73.87
KE,Product-2287,463,60.90
ZA,Product-2288,909,90.82
MA,Product-2289,778,6.35
NG,Product-2290,337,95.31
GH,Product-2291,971,50.22
KE,Product-2292,563,59.32
ZA,Product-2293,251,46.99
MA,Product-2294,669,57.93
NG,Product-2295,796,60.49
GH,Product-2296,51,9.36
KE,Product-2297,195,92.06
ZA,Product-2298,424,35.31
MA,Product-2299,170,35.31
NG,Product-2300,347,68.72
GH,Product-2301,947,0.86
KE,Product-2302,219,60.52
ZA,Product-2303,615,11.20
MA,Product-2304,579,0.07
NG,Product-2305,208,12.46
GH,Product-2306,390,48.65
KE,Product-2307,761,52.66
ZA,Product-2308,302,72.03
MA,Product-2309,768,48.41
NG,Product-2310,25,99.57
GH,Product-2311,136,93.92
KE,Product-2312,352,40.50
ZA,Product-2313,267,92.64
MA,Product-2314,303,13.03
NG,Product-2315,771,42.34
GH,Product-2316,336,63.96
KE,Product-2317,477,66.34
ZA,Product-2318,681,67.53
MA,Product-2319,134,80.98
NG,Product-2320,83,75.38
GH,Product-2321,20,78.25
KE,Product-2322,106,99.37
ZA,Product-2323,221,62.49
MA,Product-2324,310,4.26
NG,Product-2325,992,25.40
GH,Product-2326,848,80.43
KE,Product-2327,194,51.68
ZA,Product-2328,130,54.83
MA,Product-2329,580,35.23
NG,Product-2330,448,31.28
GH,Product-2331,608,75.26
KE,Product-2332,694,88.82
ZA,Product-2333,578,69.59
MA,Product-2334,682,0.46
NG,Product-2335,934,58.90
GH,Product-2336,848,91.33
KE,Product-2337,345,52.37
ZA,Product-2338,408,41.03
MA,Product-2339,350,36.55
NG,Product-2340,145,40.71
GH,Product-2341,84,5.25
KE,Product-2342,807,38.96
ZA,Product-2343,925,12.47
MA,Product-2344,2,79.81
NG,Product-2345,779,37.06
GH,Product-2346,520,15.34
KE,Product-2347,884,40.09
ZA,Product-2348,242,25.04
MA,Product-2349,321,45.11
NG,Product-2350,557,10.80
GH,Product-2351,692,9.87
KE,Product-2352,613,50.60
ZA,Product-2353,975,1.78
MA,Product-2354,291,82.44
NG,Product-2355,246,19.94
GH,Product-2356,947,44.85
KE,Product-2357,118,10.23
ZA,Product-2358,133,53.11
MA,Product-2359,162,48.54
NG,Product-2360,654,38.25
GH,Product-2361,914,89.43
KE,Product-2362,176,89.48
ZA,Product-2363,251,93.00
MA,Product-2364,798,92.39
NG,Product-2365,962,8.03
GH,Product-2366,760,18.54
KE,Product-2367,285,35.40
ZA,Product-2368,524,39.22
MA,Product-2369,47,71.34
NG,Product-2370,626,11.89
GH,Product-2371,378,27.19
KE,Product-2372,111,12.73
ZA,Product-2373,858,52.36
MA,Product-2374,554,61.51
NG,Product-2375,332,8.31
GH,Product-2376,633,28.00
KE,Product-2377,729,33.81
ZA,Product-2378,890,28.70
MA,Product-2379,288,0.85
NG,Product-2380,108,94.39
GH,Product-2381,300,32.78
KE,Product-2382,689,96.74
ZA,Product-2383,46,92.73
MA,Product-2384,878,19.69
NG,Product-2385,356,54.31
GH,Product-2386,529,35.80
KE,Product-2387,169,47.48
ZA,Product-2388,409,65.23
MA,Product-2389,820,89.80
NG,Product-2390,145,86.67
GH,Product-2391,891,86.18
KE,Product-2392,440,31.54
ZA,Product-2393,737,40.27
MA,Product-2394,813,79.76
NG,Product-2395,28,14.06
GH,Product-2396,656,79.79
KE,Product-2397,990,13.11
ZA,Product-2398,467,78.51
MA,Product-2399,9,30.50
NG,Product-2400,963,89.17
GH,Product-2401,433,52.65
KE,Product-2402,641,55.82
ZA,Product-2403,103,43.94
MA,Product-2404,580,94.21
NG,Product-2405,134,92.06
GH,Product-2406,471,72.69
KE,Product-2407,435,74.99
ZA,Product-2408,721,40.66
MA,Product-2409,381,53.09
NG,Product-2410,869,21.96
GH,Product-2411,212,2.87
KE,Product-2412,996,78.32
ZA,Product-2413,127,65.15
MA,Product-2414,19,72.79
NG,Product-2415,385,87.70
GH,Product-2416,305,13.56
KE,Product-2417,83,5.93
ZA,Product-2418,503,99.69
MA,Product-2419,129,98.90
NG,Product-2420,536,78.01
GH,Product-2421,556,89.59
KE,Product-2422,592,55.35
ZA,Product-2423,602,33.22
MA,Product-2424,230,39.10
NG,Product-2425,301,80.21
GH,Product-2426,978,52.73
KE,Product-2427,660,24.08
ZA,Product-2428,292,37.25
MA,Product-2429,85,69.98
NG,Product-2430,73,29.74
GH,Product-2431,109,82.31
KE,Product-2432,245,88.99
ZA,Product-2433,662,86.84
MA,Product-2434,335,72.49
NG,Product-2435,419,97.45
GH,Product-2436,149,2.77
KE,Product-2437,14,78.75
ZA,Product-2438,121,48.91
MA,Product-2439,715,13.83
NG,Product-2440,376,87.91
GH,Product-2441,755,87.56
KE,Product-2442,84,19.76
ZA,Product-2443,715,45.21
MA,Product-2444,742,94.94
NG,Product-2445,644,66.02
GH,Product-2446,22,92.12
KE,Product-2447,543,77.35
ZA,Product-2448,224,36.35
MA,Product-2449,660,76.91
NG,Product-2450,28,41.64
GH,Product-2451,646,75.49
KE,Product-2452,67,17.99
ZA,Product-2453,254,35.34
MA,Product-2454,193,23.67
NG,Product-2455,886,75.04
GH,Product-2456,157,34.77
KE,Product-2457,97,29.05
ZA,Product-2458,815,77.02
MA,Product-2459,922,90.12
NG,Product-2460,972,70.02
GH,Product-2461,52,30.24
KE,Product-2462,207,41.73
ZA,Product-2463,842,21.56
MA,Product-2464,792,45.26
NG,Product-2465,811,87.40
GH,Product-2466,100,42.07
KE,Product-2467,798,67.46
ZA,Product-2468,499,85.66
MA,Product-2469,499,34.58
NG,Product-2470,975,58.40
GH,Product-2471,130,9.32
KE,Product-2472,76,10.10
ZA,Product-2473,679,93.08
MA,Product-2474,1,25.14
NG,Product-2475,291,36.04
GH,Product-2476,25,37.75
KE,Product-2477,758,18.25
ZA,Product-2478,210,58.05
MA,Product-2479,405,96.99
NG,Product-2480,5,25.73
GH,Product-2481,717,65.58
KE,Product-2482,817,29.30
ZA,Product-2483,135,1.96
MA,Product-2484,935,58.05
NG,Product-2485,74,28.68
GH,Product-2486,994,21.47
KE,Product-2487,851,10.07
ZA,Product-2488,650,78.08
MA,Product-2489,160,91.37
NG,Product-2490,11,6.53
GH,Product-2491,397,1.90
KE,Product-2492,6,84.69
ZA,Product-2493,926,42.19
MA,Product-2494,955,89.43
NG,Product-2495,844,49.32
GH,Product-2496,638,66.52
KE,Product-2497,926,33.24
ZA,Product-2498,331,65.88
MA,Product-2499,632,2.74
NG,Product-2500,693,69.23
GH,Product-2501,762,74.35
KE,Product-2502,811,16.13
ZA,Product-2503,10,37.19
MA,Product-2504,953,30.45
NG,Product-2505,324,40.74
GH,Product-2506,736,98.80
KE,Product-2507,221,35.29
ZA,Product-2508,432,4.03
MA,Product-2509,428,7.20
NG,Product-2510,969,16.24
GH,Product-2511,23,32.79
KE,Product-2512,335,26.26
ZA,Product-2513,341,89.16
MA,Product-2514,625,52.14
NG,Product-2515,372,78.12
GH,Product-2516,23,60.00
KE,Product-2517,962,68.47
ZA,Product-2518,20,42.27
MA,Product-2519,311,93.74
NG,Product-2520,352,80.45
GH,Product-2521,202,18.10
KE,Product-2522,752,1.54
ZA,Product-2523,890,14.35
MA,Product-2524,150,36.81
NG,Product-2525,544,46.63
GH,Product-2526,994,9.95
KE,Product-2527,325,21.89
ZA,Product-2528,232,32.13
MA,Product-2529,460,70.10
NG,Product-2530,727,51.30
GH,Product-2531,853,18.54
KE,Product-2532,842,90.31
ZA,Product-2533,487,81.10
MA,Product-2534,600,59.18
NG,Product-2535,191,83.23
GH,Product-2536,787,26.18
KE,Product-2537,937,26.26
ZA,Product-2538,137,21.57
MA,Product-2539,133,13.89
NG,Product-2540,92,56.91
GH,Product-2541,917,1.35
KE,Product-2542,171,25.07
ZA,Product-2543,629,75.97
MA,Product-2544,340,70.25
NG,Product-2545,718,91.39
GH,Product-2546,450,46.86
KE,Product-2547,172,63.27
ZA,Product-2548,815,8.22
MA,Product-2549,498,37.17
NG,Product-2550,491,78.68
GH,Product-2551,970,17.08
KE,Product-2552,969,90.50
ZA,Product-2553,643,97.79
MA,Product-2554,741,20.06
NG,Product-2555,164,61.05
GH,Product-2556,326,52.78
KE,Product-2557,243,23.10
ZA,Product-2558,634,90.49
MA,Product-2559,827,13.75
NG,Product-2560,682,46.27
GH,Product-2561,125,40.04
KE,Product-2562,713,78.67
ZA,Product-2563,21,77.10
MA,Product-2564,842,56.24
NG,Product-2565,627,10.91
GH,Product-2566,272,64.11
KE,Product-2567,468,17.43
ZA,Product-2568,906,53.78
MA,Product-2569,478,26.44
NG,Product-2570,30,24.78
GH,Product-2571,566,20.57
KE,Product-2572,766,17.30
ZA,Product-2573,938,41.71
MA,Product-2574,470,98.97
NG,Product-2575,521,55.91
GH,Product-2576,572,11.80
KE,Product-2577,985,40.65
ZA,Product-2578,738,77.72
MA,Product-2579,181,75.15
NG,Product-2580,144,82.35
GH,Product-2581,148,58.42
KE,Product-2582,113,56.16
ZA,Product-2583,460,36.19
MA,Product-2584,892,45.74
NG,Product-2585,594,32.51
GH,Product-2586,635,72.73
KE,Product-2587,518,52.58
ZA,Product-2588,240,15.89
MA,Product-2589,979,1.19
NG,Product-2590,937,39.81
GH,Product-2591,501,82.95
KE,Product-2592,944,75.18
ZA,Product-2593,148,90.23
MA,Product-2594,591,73.31
NG,Product-2595,657,84.94
GH,Product-2596,493,14.37
KE,Product-2597,659,38.56
ZA,Product-2598,90,36.96
MA,Product-2599,155,94.46
NG,Product-2600,810,30.49
GH,Product-2601,697,15.16
KE,Product-2602,515,29.80
ZA,Product-2603,629,8.19
MA,Product-2604,917,93.34
NG,Product-2605,179,27.58
GH,Product-2606,201,93.95
KE,Product-2607,183,8.10
ZA,Product-2608,994,80.90
MA,Product-2609,874,97.18
NG,Product-2610,521,66.95
GH,Product-2611,75,2.17
KE,Product-2612,310,1.47
ZA,Product-2613,680,0.56
MA,Product-2614,131,45.70
NG,Product-2615,332,68.64
GH,Product-2616,648,93.34
KE,Product-2617,277,81.34
ZA,Product-2618,127,83.57
MA,Product-2619,11,13.22
NG,Product-2620,319,15.16
GH,Product-2621,399,75.07
KE,Product-2622,126,51.41
ZA,Product-2623,108,73.84
MA,Product-2624,980,0.78
NG,Product-2625,333,64.28
GH,Product-2626,126,38.96
KE,Product-2627,196,75.59
ZA,Product-2628,420,47.89
MA,Product-2629,613,58.35
NG,Product-2630,42,47.48
GH,Product-2631,368,74.77
KE,Product-2632,422,81.80
ZA,Product-2633,977,0.74
MA,Product-2634,211,24.42
NG,Product-2635,680,18.24
GH,Product-2636,830,69.64
KE,Product-2637,161,60.73
ZA,Product-2638,397,87.87
MA,Product-2639,103,98.21
NG,Product-2640,147,92.00
GH,Product-2641,735,28.92
KE,Product-2642,258,91.23
ZA,Product-2643,599,90.25
MA,Product-2644,675,39.21
NG,Product-2645,259,78.06
GH,Product-2646,748,34.30
KE,Product-2647,539,20.77
ZA,Product-2648,116,53.33
MA,Product-2649,165,88.17
NG,Product-2650,283,57.74
GH,Product-2651,497,47.30
KE,Product-2652,257,93.75
ZA,Product-2653,264,35.20
MA,Product-2654,695,59.07
NG,Product-2655,450,99.25
GH,Product-2656,648,70.69
KE,Product-2657,257,95.93
ZA,Product-2658,539,22.87
MA,Product-2659,475,76.52
NG,Product-2660,28,63.35
GH,Product-2661,26,31.70
KE,Product-2662,150,98.81
ZA,Product-2663,842,2.63
MA,Product-2664,936,98.11
NG,Product-2665,188,25.12
GH,Product-2666,848,49.78
KE,Product-2667,458,41.56
ZA,Product-2668,986,78.90
MA,Product-2669,643,15.31
NG,Product-2670,745,13.21
GH,Product-2671,872,61.39
KE,Product-2672,167,49.67
ZA,Product-2673,97,2.06
MA,Product-2674,79,59.13
NG,Product-2675,776,41.90
GH,Product-2676,732,21.13
KE,Product-2677,758,91.60
ZA,Product-2678,914,11.31
MA,Product-2679,953,3.87
NG,Product-2680,717,10.32
GH,Product-2681,848,16.87
KE,Product-2682,311,17.46
ZA,Product-2683,474,3.76
MA,Product-2684,932,87.76
NG,Product-2685,805,30.70
GH,Product-2686,694,84.97
KE,Product-2687,164,56.45
ZA,Product-2688,970,27.03
MA,Product-2689,536,13.93
NG,Product-2690,448,55.36
GH,Product-2691,858,43.17
KE,Product-2692,446,12.19
ZA,Product-2693,317,64.60
MA,Product-2694,318,48.50
NG,Product-2695,558,69.53
GH,Product-2696,158,68.32
KE,Product-2697,570,15.42
ZA,Product-2698,878,58.40
MA,Product-2699,591,41.92
NG,Product-2700,131,47.84
GH,Product-2701,675,51.13
KE,Product-2702,374,43.57
ZA,Product-2703,148,65.60
MA,Product-2704,595,37.26
NG,Product-2705,89,31.77
GH,Product-2706,988,91.46
KE,Product-2707,385,1.39
ZA,Product-2708,163,27.20
MA,Product-2709,58,40.98
NG,Product-2710,549,11.09
GH,Product-2711,397,14.22
KE,Product-2712,166,75.20
ZA,Product-2713,819,2.58
MA,Product-2714,738,87.29
NG,Product-2715,164,20.63
GH,Product-2716,739,84.08
KE,Product-2717,163,16.52
ZA,Product-2718,725,96.97
MA,Product-2719,252,49.20
NG,Product-2720,482,17.53
GH,Product-2721,650,37.04
KE,Product-2722,465,89.63
ZA,Product-2723,462,40.71
MA,Product-2724,421,67.01
NG,Product-2725,389,94.38
GH,Product-2726,584,33.24
KE,Product-2727,728,86.44
ZA,Product-2728,130,30.49
MA,Product-2729,416,35.71
NG,Product-2730,901,15.04
GH,Product-2731,61,92.49
KE,Product-2732,725,36.35
ZA,Product-2733,10,8.39
MA,Product-2734,42,97.03
NG,Product-2735,555,43.13
GH,Product-2736,730,74.22
KE,Product-2737,114,51.71
ZA,Product-2738,103,50.60
MA,Product-2739,806,74.01
NG,Product-2740,701,43.63
GH,Product-2741,572,84.94
KE,Product-2742,313,41.12
ZA,Product-2743,495,0.55
MA,Product-2744,59,96.16
NG,Product-2745,863,32.55
GH,Product-2746,99,2.60
KE,Product-2747,525,70.60
ZA,Product-2748,213,48.30
MA,Product-2749,798,4.78
NG,Product-2750,850,82.53
GH,Product-2751,337,19.70
KE,Product-2752,797,95.02
ZA,Product-2753,899,77.93
MA,Product-2754,92,23.06
NG,Product-2755,591,55.49
GH,Product-2756,963,90.27
KE,Product-2757,864,7.20
ZA,Product-2758,574,18.61
MA,Product-2759,136,66.97
NG,Product-2760,129,26.38
GH,Product-2761,775,20.50
KE,Product-2762,17,19.93
ZA,Product-2763,783,60.26
MA,Product-2764,732,40.89
NG,Product-2765,242,48.69
GH,Product-2766,955,33.93
KE,Product-2767,191,42.09
ZA,Product-2768,826,99.91
MA,Product-2769,17,78.70
NG,Product-2770,55,70.42
GH,Product-2771,196,19.28
KE,Product-2772,335,24.25
ZA,Product-2773,675,9.88
MA,Product-2774,330,28.42
NG,Product-2775,956,75.26
GH,Product-2776,514,97.54
KE,Product-2777,793,52.42
ZA,Product-2778,729,67.49
MA,Product-2779,148,58.91
NG,Product-2780,354,1.10
GH,Product-2781,512,64.95
KE,Product-2782,556,5.20
ZA,Product-2783,252,80.92
MA,Product-2784,431,57.19
NG,Product-2785,227,58.91
GH,Product-2786,248,29.78
KE,Product-2787,204,43.58
ZA,Product-2788,317,72.33
MA,Product-2789,932,41.43
NG,Product-2790,849,17.73
GH,Product-2791,786,14.37
KE,Product-2792,948,38.14
ZA,Product-2793,704,65.21
MA,Product-2794,86,52.57
NG,Product-2795,409,72.62
GH,Product-2796,356,28.45
KE,Product-2797,683,37.01
ZA,Product-2798,72,56.73
MA,Product-2799,377,26.53
NG,Product-2800,251,42.19
GH,Product-2801,68,97.74
KE,Product-2802,371,89.02
ZA,Product-2803,584,76.66
MA,Product-2804,533,6.22
NG,Product-2805,118,22.17
GH,Product-2806,809,32.78
KE,Product-2807,637,89.06
ZA,Product-2808,304,14.94
MA,Product-2809,164,61.03
NG,Product-2810,712,65.83
GH,Product-2811,54,45.71
KE,Product-2812,463,1.15
ZA,Product-2813,595,89.80
MA,Product-2814,835,42.99
NG,Product-2815,895,22.47
GH,Product-2816,680,43.49
KE,Product-2817,954,68.20
ZA,Product-2818,174,35.16
MA,Product-2819,667,85.82
NG,Product-2820,166,78.63
GH,Product-2821,474,66.24
KE,Product-2822,483,73.45
ZA,Product-2823,779,53.94
MA,Product-2824,33,35.39
NG,Product-2825,562,50.49
GH,Product-2826,405,40.02
KE,Product-2827,583,56.21
ZA,Product-2828,42,39.29
MA,Product-2829,613,77.42
NG,Product-2830,813,70.98
GH,Product-2831,881,51.31
KE,Product-2832,554,4.08
ZA,Product-2833,32,40.49
MA,Product-2834,979,19.55
NG,Product-2835,882,1.10
GH,Product-2836,953,81.35
KE,Product-2837,148,69.78
ZA,Product-2838,941,53.78
MA,Product-2839,198,66.51
NG,Product-2840,57,98.52
GH,Product-2841,973,29.90
KE,Product-2842,504,72.52
ZA,Product-2843,984,33.35
MA,Product-2844,912,42.66
NG,Product-2845,928,15.03
GH,Product-2846,211,12.60
KE,Product-2847,892,96.24
ZA,Product-2848,861,55.75
MA,Product-2849,242,16.37
NG,Product-2850,485,21.32
GH,Product-2851,374,28.47
KE,Product-2852,482,92.15
ZA,Product-2853,774,97.51
MA,Product-2854,239,52.82
NG,Product-2855,799,1.36
GH,Product-2856,797,38.53
KE,Product-2857,979,40.99
ZA,Product-2858,127,51.03
MA,Product-2859,960,84.72
NG,Product-2860,722,32.80
GH,Product-2861,947,93.19
KE,Product-2862,750,93.57
ZA,Product-2863,295,90.54
MA,Product-2864,257,96.70
NG,Product-2865,220,82.95
GH,Product-2866,797,89.81
KE,Product-2867,158,62.28
ZA,Product-2868,899,59.33
MA,Product-2869,498,21.71
NG,Product-2870,413,43.98
GH,Product-2871,744,86.86
KE,Product-2872,217,26.21
ZA,Product-2873,471,94.70
MA,Product-2874,615,65.48
NG,Product-2875,322,36.72
GH,Product-2876,734,73.05
KE,Product-2877,170,39.96
ZA,Product-2878,353,96.14
MA,Product-2879,358,98.88
NG,Product-2880,709,77.66
GH,Product-2881,126,94.30
KE,Product-2882,80,87.76
ZA,Product-2883,654,71.91
MA,Product-2884,650,16.61
NG,Product-2885,119,92.54
GH,Product-2886,203,11.08
KE,Product-2887,569,10.60
ZA,Product-2888,672,98.22
MA,Product-2889,673,49.39
